casename,actionName,order,value1,value2,value3,value4,delayTime,assertion
S20c开修改为关,关,off,1,0,0,0,15,"""status"": 0"
s30m开修改为关,关,off,1,0,0,0,17,"""status"": 0"
s30m关修改为翻转,翻转,toggle,2,0,0,0,19,"""status"": 0"
s30m翻转修改为开,翻转,on,0,0,0,0,21,"""status"": 0"
RF灯翻转修改延时,翻转,rf control,2,0,0,0,23,"""status"": 0"
RF窗帘开修改延时,开,rf control,380000,0,0,0,25,"""status"": 0"
RF窗帘关修改延时,关,rf control,380001,0,0,0,27,"""status"": 0"
RF窗帘停修改延时,停,rf control,380002,0,0,0,29,"""status"": 0"
RF晾衣架关修改延时,关,rf control,381000,0,0,0,31,"""status"": 0"
RF晾衣架照明修改延时,照明,rf control,381001,0,0,0,33,"""status"": 0"
RF晾衣架风干修改延时,风干,rf control,381002,0,0,0,35,"""status"": 0"
RF晾衣架烘干修改延时,烘干,rf control,381003,0,0,0,37,"""status"": 0"
RF晾衣架消毒修改延时,消毒,rf control,381004,0,0,0,39,"""status"": 0"
RF晾衣架上移修改延时,上移,rf control,381005,0,0,0,41,"""status"": 0"
RF晾衣架停止修改延时,停止,rf control,381006,0,0,0,43,"""status"": 0"
RF晾衣架下移修改延时,下移,rf control,381007,0,0,0,45,"""status"": 0"
